"","sub","est_alpha.acq","est_alpha_rangecorrected.acq","est_baseline.acq","est_ceiling.acq","RW_model_resSS.acq","CStype"
"88",19,0.0215081459127468,0.000471896933499464,54.4219417718017,100,83.4527526568561,"CS tone"
"89",20,0.0729081503836082,0.000974448258926596,25.1800701415175,100,302.568252083171,"CS tone"
"90",21,0.0745062153247876,0.0017495216782718,57.4133797539533,100,90.8085048255171,"CS tone"
"91",22,-0.000810142612431802,-1.62740317171292e-05,50.2186903335644,100,1.8782968783932,"CS tone"
"92",23,-0.0139110717438476,-0.000156914278406776,11.3460426604054,100,198.698333249346,"CS tone"
"93",24,-0.00405348921361462,-8.41616797471551e-05,51.8368784250454,100,19.6263185269453,"CS tone"
"94",25,0.0120233028949743,0.000231906945567872,48.1546235472476,100,2.52691025024263,"CS tone"
"95",27,-0.00798351291396022,-0.000164489449098906,51.4648935983742,100,113.850095157044,"CS tone"
"96",28,0.0296087598843665,0.000352667582439617,16.043431949303,100,1452.18359093008,"CS tone"
"97",29,-0.0346564413649129,-0.000630679934264461,45.0490819795441,100,260.595624810393,"CS tone"
"98",31,-0.0308517142076024,-0.000834193641097047,63.0161239696944,100,503.353101493991,"CS tone"
"99",32,0.012360929890339,0.000273207591765902,54.7562722893496,100,135.96206689129,"CS tone"
"100",33,0.037219720825898,0.000747781422037506,50.226470290631,100,154.124119264232,"CS tone"
"101",34,0.0570105388097601,0.00132076146726937,56.8350983712242,100,166.354053309593,"CS tone"
"102",35,0.0419709580945217,0.00112432983270694,62.6702441991846,100,73.0404203805423,"CS tone"
"103",36,-0.00779799873306135,-0.000159858274511701,51.2192987389554,100,7.93470582321951,"CS tone"
"104",37,0.0836687677391987,0.00132034192053545,36.6309844155614,100,274.002409626339,"CS tone"
"105",38,0.212895179353031,0.00474343890348953,55.1179674315161,100,112.26295338026,"CS tone"
"106",39,0.0254359579039236,0.000452204914070354,43.7512572011408,100,745.961707357804,"CS tone"
"107",40,-0.00473831622215231,-7.76766757043667e-05,38.999497864892,100,178.075549465418,"CS tone"
"108",41,0.00385291687007688,8.350340160798e-05,53.8591626702225,100,206.653464366517,"CS tone"
"109",42,0.0304041130624796,0.000531689386696333,42.8160241237907,100,177.37665150694,"CS tone"
"110",43,-0.0137918492159424,-0.000269857498479256,48.8921030778671,100,5.80623026757341,"CS tone"
"111",44,0.0104318682380299,0.000126658577339573,17.6378855885779,100,46.9776091451972,"CS tone"
"112",45,0.0230125595596656,0.00045323021057034,49.2254509453223,100,77.9009863876211,"CS tone"
"113",46,0.0138258803902978,0.000305479608946402,54.7404147923876,100,97.1185509380643,"CS tone"
"114",47,0.00124727770926549,2.47786235320056e-05,49.6631559192773,100,1.68883679563683,"CS tone"
